Date,Open,High,Low,Close,Adj Close,Volume
2020-12-16,122.430000,122.870003,119.910004,120.129997,119.080093,280300
2020-12-17,120.769997,120.769997,118.949997,119.760002,118.713333,280400
2020-12-18,120.290001,120.290001,117.110001,117.739998,116.710983,1232800
2020-12-21,116.080002,118.769997,116.080002,118.669998,117.632858,228500
2020-12-22,118.440002,119.029999,117.309998,117.510002,116.482994,246400
2020-12-23,118.089996,119.220001,117.930000,118.480003,117.444527,173800
2020-12-24,119.010002,119.010002,117.260002,118.120003,117.087669,67200
2020-12-28,118.970001,119.919998,118.139999,118.410004,117.375137,144400
2020-12-29,118.779999,119.589996,117.760002,118.169998,117.137230,207300
2020-12-30,118.410004,120.849998,118.059998,119.160004,118.118576,235200
2020-12-31,119.650002,120.629997,118.349998,119.750000,118.703423,227000
2021-01-04,121.779999,123.919998,118.690002,119.709999,118.663765,266000
2021-01-05,119.720001,124.059998,119.720001,123.139999,122.063789,351700
2021-01-06,126.379997,131.619995,126.379997,131.039993,129.894745,748800
2021-01-07,132.179993,134.020004,130.740005,132.440002,131.282516,637800
2021-01-08,130.339996,132.000000,129.199997,131.289993,130.142563,591500
2021-01-11,129.059998,133.630005,128.339996,132.250000,131.094177,305500
2021-01-12,132.250000,135.330002,130.880005,135.210007,134.028305,420400
2021-01-13,134.279999,134.279999,130.259995,132.119995,130.965302,282800
2021-01-14,133.570007,134.360001,131.419998,131.940002,130.786880,458100
2021-01-15,129.610001,130.029999,126.680000,127.629997,126.514542,322300
2021-01-19,128.619995,129.550003,127.500000,128.179993,127.059731,379000
2021-01-20,128.880005,129.610001,127.000000,128.440002,127.317474,275800
2021-01-21,128.500000,128.660004,125.239998,125.410004,124.313957,375600
2021-01-22,124.389999,126.510002,123.860001,126.220001,125.116867,290000
2021-01-25,126.669998,126.669998,124.400002,125.660004,124.561775,411000
2021-01-26,126.610001,126.610001,122.589996,122.699997,121.627632,386600
2021-01-27,121.160004,121.959999,117.930000,119.339996,118.296997,468400
2021-01-28,121.230003,121.550003,116.709999,117.580002,116.552383,477400
2021-01-29,117.820000,118.010002,114.260002,116.080002,115.065498,565500
2021-02-01,117.849998,119.559998,116.190002,119.180000,118.138397,323600
2021-02-02,119.580002,121.010002,118.779999,120.860001,119.803719,312900
2021-02-03,121.010002,122.449997,120.900002,122.099998,121.032875,241200
2021-02-04,122.570000,124.209999,121.190002,123.919998,122.836967,256200
2021-02-05,125.419998,126.160004,123.529999,123.739998,122.658546,328500
2021-02-08,125.400002,126.309998,123.730003,124.529999,123.441643,288000
2021-02-09,124.190002,125.269997,123.209999,124.830002,123.739021,401200
2021-02-10,125.690002,125.989998,123.760002,123.849998,122.767578,187800
2021-02-11,123.940002,124.690002,122.610001,124.339996,123.253304,230200
2021-02-12,123.949997,125.769997,123.480003,125.589996,124.492378,160700
2021-02-16,126.379997,128.080002,125.970001,127.489998,126.375771,288300
2021-02-17,127.599998,128.289993,125.419998,125.430000,124.333771,358000
2021-02-18,125.489998,128.960007,124.029999,126.900002,125.790932,439900
2021-02-19,127.839996,131.990005,126.419998,131.369995,130.221863,474900
2021-02-22,131.369995,136.000000,131.339996,135.369995,134.186905,463800
2021-02-23,135.100006,136.039993,133.500000,135.539993,134.355423,400900
2021-02-24,135.539993,138.649994,134.470001,138.190002,136.982269,595000
2021-02-25,139.000000,139.449997,134.789993,135.419998,134.236465,338100
2021-02-26,134.690002,135.429993,131.130005,132.199997,131.044601,358800
2021-03-01,135.080002,139.910004,134.570007,139.330002,138.112305,504300
2021-03-02,139.649994,139.860001,137.600006,138.690002,137.477890,380800
2021-03-03,139.389999,142.570007,138.080002,140.440002,139.212585,376000
